Video ID,Title,Description,Channel Title,Video URL,Tags,Category,Published At,View Count,Comment Count,Duration,Topic Details,Captions Available,Caption Text,Location
-3WJsexaHes,Turn a doc into a deck | Canva Docs,"Need to present a doc? Not a problem. You're only a couple of clicks away from being presentation-ready, with Canva Docs.",Canva,https://www.youtube.com/watch?v=-3WJsexaHes,[],,3/6/2023 01:24,26876632,0,00:00:16,[],TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
igwwmCHd3u0,Is your Mom same? 😂 #momthings #safe #lock #documents #jagritipahwa,,Jagriti Pahwa,https://www.youtube.com/watch?v=igwwmCHd3u0,[],,9/26/2024 06:42,10009345,357,00:00:20,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
g_1oiJqE3OI,"The World In 2050, The Real Future Of Earth (BBC &amp; Nat Geo Documentaries)",Take a look at https://lixtle.com/selfsuff for the most practical blueprint to produce your own energy and your own food. Nobody ...,Top Class Documentaries,https://www.youtube.com/watch?v=g_1oiJqE3OI,[],,12/5/2016 02:09,9159667,3429,00:43:43,[],TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
#NAME?,Documenting Hate: New American Nazis (full documentary) | FRONTLINE,"In this 2018 documentary, FRONTLINE and ProPublica investigate a neo-Nazi group that has actively recruited inside the U.S. ...",FRONTLINE PBS | Official,https://www.youtube.com/watch?v=-XFBVAAzXjc,[],,11/4/2020 00:00,6641743,28705,00:53:17,"['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Television_program']",TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
kVpJ6BwG8zg,Experts Reveal What Really Happened (Full Episode) | Area 51: The CIA&#39;s Secret,"Using the most up-to-date information and expert interviews, Area 51: The CIA's Secret approaches the history of the base's ...",National Geographic,https://www.youtube.com/watch?v=kVpJ6BwG8zg,[],,6/23/2024 15:00,5588136,1492,00:44:25,[],TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
qgzEyaDGAkU,"&#39;Kapalit ng Katahimikan,&#39; dokumentaryo ni Kara David (Full Episode) (with English subs) | I-Witness","Aired (October 5, 2024): Babala: Sensitibo ang paksa. Sa kabila ng mga umiiral na batas laban sa panggagahasa at ...",GMA Public  Affairs,https://www.youtube.com/watch?v=qgzEyaDGAkU,[],,10/7/2024 05:45,5562058,7651,00:32:41,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Television_program']",TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
asEOVuACQVw,Plants vs zombies 2: Sunflower Ages documentation. (Flipaclip Animation),22468815 views Published 2017.05.15 The sunflower documentation. The source of energy of all plants. While they watching ...,Fun List,https://www.youtube.com/watch?v=asEOVuACQVw,[],,2/18/2022 11:52,4578660,548,00:09:39,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
zMK8bPEerEM,Brain Enhancement Techniques Listed In a CIA Document,AUDIO PROGRAMS - https://bit.ly/3w7mRjt The report entitled Analysis and Assessment of The Gateway Process was penned in ...,Video Advice,https://www.youtube.com/watch?v=zMK8bPEerEM,[],,5/12/2022 14:04,3624583,6330,00:15:37,"['https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Knowledge']",TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
UL_4rTDC_Cc,How to Convert Image to Word Document,"In this tutorial video, learn how you can use Microsoft Word to convert a photo (e.g. jpeg, gif, png) into an editable Word document.",Kevin Stratvert,https://www.youtube.com/watch?v=UL_4rTDC_Cc,[],,7/29/2019 01:51,3535136,2096,00:04:09,['https://en.wikipedia.org/wiki/Knowledge'],TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,"{'latitude': 47.6062095, 'longitude': -122.3320708, 'altitude': 0}"
iypcZMtXVIA,Basic Computer Training - Document Creation in Wordpad,Many more free computer training videos here: https://www.meganga.com - Everyone who switches on a computer at some point ...,megangadotcom,https://www.youtube.com/watch?v=iypcZMtXVIA,[],,5/10/2012 14:43,3485951,522,00:05:44,['https://en.wikipedia.org/wiki/Knowledge'],TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
bjjzvZa2c9A,Send Photos as Document on Whatsapp in Iphone,[2023updated] Easily transfer or backup iPhone photos/videos/apps/contact and more on PC with http://bit.ly/3lr9lEN The latest ...,Ira's World,https://www.youtube.com/watch?v=bjjzvZa2c9A,[],,4/2/2021 14:25,2888580,394,00:03:35,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology']",TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
dr3PeT-Fxyc,Documentation of Atrocities: The Jewish Photographer Henryk Ross,"This video is part of the Holocaust Education Video Toolbox. For more videos and teaching aids, visit: ...",Yad Vashem,https://www.youtube.com/watch?v=dr3PeT-Fxyc,[],,4/19/2015 05:50,2834155,26,00:04:48,['https://en.wikipedia.org/wiki/Society'],TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
Fvrtt0h84Mg,Advanced Microsoft Word - Formatting Your Document,"If you like this video, here's my entire playlist of Word tutorials: http://bit.ly/2FY6NVT Learn how you can format your Microsoft Word ...",Technology for Teachers and Students,https://www.youtube.com/watch?v=Fvrtt0h84Mg,[],,3/5/2018 13:42,2269189,469,00:10:18,['https://en.wikipedia.org/wiki/Knowledge'],TRUE,Error fetching captions: argument of type 'NoneType' is not iterable,N/A
