Video ID,Title,Description,Channel Title,Video URL,Tags,Category,Published At,View Count,Comment Count,Duration,Topic Details,Captions Available,Caption Text,Location
5RDSkR8_AQ0,50 Cent - Ayo Technology (Official Music Video) ft. Justin Timberlake,REMASTERED IN HD! Official Music Video for Ayo Technology performed by 50 Cent (ft. Justin Timberlake). Best of: ...,50CentVEVO,https://www.youtube.com/watch?v=5RDSkR8_AQ0,[],,6/17/2009 05:30,317132528,37748,00:04:09,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rhythm_and_blues']",TRUE,No Captions Available,N/A
h0xOdfMJTJI,This is future technology 2d animation #shorts,,VFX HD,https://www.youtube.com/watch?v=h0xOdfMJTJI,[],,5/27/2022 07:07,245601219,1093,00:00:13,[],TRUE,No Captions Available,N/A
-055GvEU7f0,Worlds smallest 4K headset 😎 Visor.com #tech #vr #technology #virtualreality #insideout2,"Visor is the world's smallest 4K headset. Spawn five 4K virtual screens. With more pixels than the Apple Vision Pro, Visor's small ...",Immersed,https://www.youtube.com/watch?v=-055GvEU7f0,[],,6/21/2024 14:12,164066483,6908,00:00:15,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology']",TRUE,No Captions Available,N/A
IPhARlUO6NA,New Science Project #shorts #science #technology #trending,New Science Project #shorts #science #technology #trending.,VMK Technical Power,https://www.youtube.com/watch?v=IPhARlUO6NA,[],,4/28/2023 01:30,161151607,8850,00:00:15,[],TRUE,No Captions Available,N/A
OwKKw_7PnYY,Diy tractor making asphalt road new technology | diy mini construction machine | @SunFarming,"Diy tractor making asphalt road new technology | diy mini construction machine | @SunFarming Hi guy, This video talk about story ...",Sun Farming,https://www.youtube.com/watch?v=OwKKw_7PnYY,[],,4/1/2023 13:00,116971878,2687,00:23:33,"['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",TRUE,No Captions Available,N/A
BoU376w9_8g,"Fire Fighting Drone, New Science Project #shorts #science #technology #trending","Fire Fighting Drone, New Science Project #shorts #science #technology #trending.",VMK Technical Power,https://www.youtube.com/watch?v=BoU376w9_8g,[],,5/28/2023 01:30,109962462,3031,00:00:14,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],TRUE,No Captions Available,N/A
yCs10fK5dxA,Future Technology According to the Imagination ‖Virus Collection #45,Future Technology According to the Imagination ‖Virus Collection #45 ------------------------------------- Thanks for watching!,MC creativity,https://www.youtube.com/watch?v=yCs10fK5dxA,[],,9/29/2021 09:20,88664579,2330,00:09:44,[],TRUE,No Captions Available,N/A
8LlcAwQ0Mrw,Giant ipad 😱😱😲 3d animation | future technology imagination,,VFX HD,https://www.youtube.com/watch?v=8LlcAwQ0Mrw,[],,6/8/2022 03:20,86972888,651,00:00:12,['https://en.wikipedia.org/wiki/Technology'],TRUE,No Captions Available,N/A
ZEl-Y1NvBVI,Primitive Technology: Cord drill and Pump drill,I made a cord drill and then upgraded it to a pump drill. A cord drill is basically a spindle with a fly wheel attached so it looks like a ...,Primitive Technology,https://www.youtube.com/watch?v=ZEl-Y1NvBVI,[],,1/22/2016 22:46,82809461,24756,00:08:24,"['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",TRUE,No Captions Available,N/A
1Nef8LPO-jo,5 ILLEGAL gadgets that will get you ARRESTED,"shorts #technology I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you ...",Mrwhosetheboss,https://www.youtube.com/watch?v=1Nef8LPO-jo,[],,11/1/2022 11:00,79390983,6306,00:00:47,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology']",TRUE,No Captions Available,N/A
