Video ID,Title,Description,Channel Title,Video URL,Tags,Category,Published At,View Count,Comment Count,Duration,Topic Details,Captions Available,Caption Text,Location
N1934B5vaGI,Places don’t feel real in France #travel #explore #adventure #nature,,Our Awesome World,https://www.youtube.com/watch?v=N1934B5vaGI,[],,4/18/2023 05:56,204538435,4186,00:00:16,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",TRUE,No Captions Available,N/A
zR_IarVr2AI,Places In Real Life #travel #explore #adventure #destinations,,PictoPlanet,https://www.youtube.com/watch?v=zR_IarVr2AI,[],,2/18/2024 22:31,191991524,8738,00:00:16,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",TRUE,No Captions Available,N/A
_uflDbwup1w,#466 Travelling in First AC for the first time | Etawah to Lucknow,chuttidays Hope you all like it Plz like share subscribe --------------------------------------------------------------------------------------- You can ...,therainbowgirl,https://www.youtube.com/watch?v=_uflDbwup1w,[],,6/3/2024 13:49,112286357,5687,00:00:53,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",TRUE,No Captions Available,N/A
GNdyJ4VnsXs,#lindtchocolate #switzerland #bucketlisttravel #travel #bucketlistdestination #chocolate,,AN R OL,https://www.youtube.com/watch?v=GNdyJ4VnsXs,[],,2/3/2024 12:29,110752680,1537,00:00:57,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",TRUE,No Captions Available,N/A
xRbPAVnqtcs,[MV] BOL4(볼빨간사춘기) _ Travel(여행),[MV] BOL4(볼빨간사춘기) _ Travel(여행) *English subtitles are now available. :D (Please click on 'CC' button or activate ...,1theK (원더케이),https://www.youtube.com/watch?v=xRbPAVnqtcs,[],,5/24/2018 09:00,102207509,26106,00:04:18,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",TRUE,No Captions Available,N/A
MuBdwJ51JeQ,His reaction at the end is perfect!                #funny #airplane #travel,,StephC,https://www.youtube.com/watch?v=MuBdwJ51JeQ,[],,2/26/2024 05:50,102045904,7910,00:00:23,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Humour']",TRUE,No Captions Available,N/A
n_CmFMbsT9o,Expectations vs Reality😁🤣 #travel #explore #adventure #nature #instagram #reality,,Traveler's Insight,https://www.youtube.com/watch?v=n_CmFMbsT9o,[],,1/12/2024 00:29,100973923,2070,00:00:16,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",TRUE,No Captions Available,N/A
K3Ku4T2wn7M,Most beautiful places in USA #travel #explore #adventure #nature,,Our Awesome World,https://www.youtube.com/watch?v=K3Ku4T2wn7M,[],,3/28/2023 00:17,99718586,14001,00:00:17,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",TRUE,No Captions Available,N/A
dqjtA0oE2yU,SOCIAL MEDIA VS. REALITY (shocking) pt.2  #travel #shorts #socialmedia #reality,"Do these results surprise you or not? Tbh the second one is still pretty cool. Remember to subscribe and share, thanks for ...",The Travel Shack,https://www.youtube.com/watch?v=dqjtA0oE2yU,[],,5/26/2023 12:23,92377290,7277,00:00:14,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Tourism']",TRUE,No Captions Available,N/A
fYReNt1oipQ,Product Link in Comments ▶️ Large Capacity Lightweight Easy Folding Travel Bag⁠⁠,Product Link: https://mavigadget.com/products/large-capacity-lightweight-easy-folding-travel-bag/?ref=14 Find more ...,MaviGadget,https://www.youtube.com/watch?v=fYReNt1oipQ,[],,6/17/2023 07:37,92221576,1519,00:00:31,"['https://en.wikipedia.org/wiki/Fashion', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",TRUE,No Captions Available,"3900 Road, Dearing, Montgomery County, Kansas, United States"
